疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,795532人评价
上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,巴西 法国,犯罪 剧情,9.0,286226人评价
谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,8.8,395690人评价
心迷宫,导演: 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,484558人评价
英雄本色,导演: 吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.6,501830人评价
风之谷,导演: 宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,337992人评价
纵横四海,导演: 吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,395567人评价
色，戒,导演: 李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.6,722638人评价
海街日记,导演: 是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,417726人评价
茶馆,导演: 谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史,9.5,117878人评价
岁月神偷,导演: 罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,552793人评价
记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,570433人评价
爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.9,367310人评价
绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,303476人评价
忠犬八公物语,导演: Seijirô Kôyama,1987,日本,剧情,9.2,181881人评价
荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,416060人评价
爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,548048人评价
小偷家族,导演: 是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭,8.7,773794人评价
疯狂的石头,导演: 宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.6,768961人评价
贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情,8.6,710656人评价
无敌破坏王,导演: 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,504057人评价
东邪西毒,导演: 王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,545840人评价
雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.1,205562人评价
真爱至上,导演: 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,687013人评价
冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,8.6,579034人评价
恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,796299人评价
你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,314914人评价
2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.9,295627人评价
黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,749452人评价
无间道2,导演: 刘伟强 / 麦兆辉,2003,中国香港,剧情 犯罪 惊悚,8.7,436759人评价
魔女宅急便,导演: 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.7,430364人评价
牯岭街少年杀人事件,导演: 杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.9,271976人评价
遗愿清单,导演: 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.7,418563人评价
背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,剧情,9.5,113396人评价
小丑,导演: 托德·菲利普斯 Todd Phillips,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,946418人评价
雨人,导演: 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,383048人评价
大佛普拉斯,导演: 黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧,8.7,418145人评价
恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.6,631000人评价
可可西里,导演: 陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.9,284485人评价
城市之光,导演: Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,134720人评价
东京教父,导演: 今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画,9.0,201686人评价
源代码,导演: 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,791097人评价
萤火虫之墓,导演: 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,388278人评价
初恋这件小事,"导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010",1966,法国 英国,喜剧 战争,8.9,238568人评价
人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,418291人评价
海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,481787人评价
心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,美国,动画 奇幻 音乐,8.7,901749人评价
罗生门,导演: 黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,294544人评价
青蛇,导演: 徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,492515人评价
波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.6,564098人评价
终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.8,321539人评价
疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.7,495175人评价
新龙门客栈,导演: 李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,416460人评价
奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,526870人评价
二十二,导演: 郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,279787人评价
无耻混蛋,导演: Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.6,445732人评价
房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,354058人评价
千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,272029人评价
血钻,导演: 爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,357064人评价
